"cell","n_records","y","toc_median","mask","n_sites","y_sd","x_lon","y_lat"
3425504,1,0.47567118832443,2.98,"deep",1,NA,10.3500003510009,-5.14999991266156
3428898,1,-0.698970004336019,0.19,"deep",1,NA,-10.2500003476096,-5.24999991096567
3429080,1,0.00432137378264258,1,"deep",1,NA,7.95000026960938,-5.24999991096567
3429099,1,0.278753600952829,1.89,"deep",1,NA,9.85000033404432,-5.24999991096567
3433130,1,-0.113509274827518,0.76,"deep",1,NA,52.9500017957002,-5.34999990926977
3433637,9,-0.117133560824778,0.67,"deep",1,NA,103.650003515096,-5.34999990926977
3436885,1,-0.769551078621726,0.16,"deep",1,NA,68.4500023213538,-5.44999990757388
3436887,1,-0.638272163982407,0.22,"deep",1,NA,68.6500023281364,-5.44999990757388
3436889,2,-0.721246399047171,0.18,"deep",2,NA,68.850002334919,-5.44999990757388
3438733,1,0.235528446907549,1.71,"deep",1,NA,-106.750003620227,-5.549999905878
3438947,1,-0.0757207139381184,0.83,"deep",1,NA,-85.3500028944857,-5.549999905878
3439783,1,-0.552841968657781,0.27,"deep",1,NA,-1.75000005934797,-5.549999905878
3439911,3,0.319840202676676,1.65,"deep",1,NA,11.0500003747401,-5.549999905878
3441468,1,-0.318758762624413,0.47,"deep",1,NA,166.750005655014,-5.549999905878
3443477,6,0.247516496814356,1.85,"deep",1,NA,7.65000025943544,-5.6499999041821
3443518,1,0.53655844257153,3.43,"shelf",1,NA,11.7500003984793,-5.6499999041821
3446651,1,0.0644579892269184,1.15,"shelf",1,NA,-34.9500011852639,-5.74999990248621
3446890,1,-0.721246399047171,0.18,"deep",1,NA,-11.0500003747401,-5.74999990248621
3446893,1,-0.769551078621726,0.16,"deep",1,NA,-10.7500003645661,-5.74999990248621
3447078,2,0.440498207314531,2.755,"deep",1,NA,7.75000026282675,-5.74999990248621
3447113,1,0.557507201905658,3.6,"deep",1,NA,11.2500003815227,-5.74999990248621
3447116,7,0.413695613259216,2.52,"shelf",1,NA,11.5500003916966,-5.74999990248621
3447117,3,0.393279489585271,2.47,"shelf",1,NA,11.650000395088,-5.74999990248621
3447119,8,0.381321312678087,2.42,"shelf",2,NA,11.8500004018706,-5.74999990248621
